State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
1,89,14,88101,1,34.687761,-86.586362,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,18,15,N,18,122,0,2,0.0,0.0,Certification not required,0,7.583333,4.0466760000000015,18.9,2017-02-18 00:00,11.7,2017-02-21 00:00,10.7,2017-01-16 00:00,10.4,2017-01-07 00:00,,,,,18.9,18.9,18.9,11.7,10.1,7.0,3.0,HUNTSVILLE OLD AIRPORT,2201 AIRPORT ROAD,Alabama,Madison,Huntsville,"Huntsville, AL",2017-04-21
1,97,3,88101,1,30.770181,-88.087761,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,28,23,N,28,122,0,2,0.0,0.0,Certification not required,0,7.635714,3.185176,17.7,2017-03-23 00:00,13.0,2017-03-17 00:00,12.5,2017-03-20 00:00,10.9,2017-03-05 00:00,,,,,17.7,17.7,13.0,12.5,9.1,7.2,4.3,CHICKASAW,"Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA",Alabama,Mobile,Chickasaw,"Mobile, AL",2017-05-18
1,101,1002,88101,1,32.412811,-86.26339399999998,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,30,25,N,30,122,0,0,0.0,0.0,Certification not required,0,9.81,5.592689,28.2,2017-03-05 00:00,22.1,2017-02-21 00:00,15.7,2017-02-27 00:00,15.6,2017-03-17 00:00,,,,,28.2,28.2,22.1,15.7,12.6,8.7,4.9,"MOMS, ADEM","1350 COLISEUM BLVD, MONTGOMERY, ALABAMA",Alabama,Montgomery,Montgomery,"Montgomery, AL",2017-05-18
1,103,11,88101,1,34.530717,-86.967536,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,28,23,N,28,122,0,2,0.0,0.0,Certification not required,0,7.396428999999999,3.562093,15.5,2017-02-18 00:00,13.2,2017-03-05 00:00,13.1,2017-03-20 00:00,12.9,2017-02-21 00:00,,,,,15.5,15.5,13.2,13.1,9.7,7.0,3.1,"DECATUR, Alabama","P.O. BOX 2224 WALLACE DEVELOPMENT CENTER. DECATUR, ALABAMA",Alabama,Morgan,Decatur,"Decatur, AL",2017-05-18
1,113,3,88101,1,32.437028000000005,-84.99965300000002,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,24,20,N,24,122,0,0,0.0,0.0,Certification not required,0,11.2125,7.073053999999999,28.4,2017-03-23 00:00,27.0,2017-02-18 00:00,19.2,2017-03-05 00:00,19.0,2017-03-17 00:00,,,,,28.4,28.4,27.0,19.2,15.2,10.2,3.6,PHENIX CITY - SOUTH GIRARD SCHOOL,"510 6th Place South, Phenix City, Alabama  36869",Alabama,Russell,Phenix City,"Columbus, GA-AL",2017-05-18
1,121,2,88101,1,33.27947,-86.349438,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,29,24,N,29,122,0,1,0.0,0.0,Certification not required,0,9.117241,4.683106,20.9,2017-03-05 00:00,18.8,2017-03-23 00:00,15.3,2017-02-21 00:00,14.8,2017-02-18 00:00,,,,,20.9,20.9,18.8,15.3,12.4,8.6,3.7,CHILDERSBURG,300 1ST ST. SOUTHEAST,Alabama,Talladega,Childersburg,"Talladega-Sylacauga, AL",2017-05-18
1,125,4,88101,1,33.189931,-87.484189,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,26,21,N,26,122,0,4,0.0,0.0,Certification not required,0,7.469231,3.489615,18.4,2017-03-05 00:00,11.4,2017-03-29 00:00,10.7,2017-01-31 00:00,10.5,2017-03-20 00:00,,,,,18.4,18.4,11.4,10.7,10.0,7.2,3.4,"VA, TUSCALOOSA",3701 LOOP ROAD EAST,Alabama,Tuscaloosa,Tuscaloosa,"Tuscaloosa, AL",2017-05-18
4,13,9997,88101,1,33.503833,-112.095767,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,28,23,N,28,122,0,3,0.0,0.0,Certification not required,0,8.157143,4.3207879999999985,21.5,2017-01-07 00:00,15.2,2017-01-04 00:00,12.8,2017-02-03 00:00,12.4,2017-01-31 00:00,,,,,21.5,21.5,15.2,12.8,11.5,7.9,3.4,JLG SUPERSITE,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",2017-04-19
4,19,11,88101,1,32.322661,-111.038389,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,30,25,N,30,122,0,0,0.0,0.0,Certification not required,0,6.603333,2.002151,10.6,2017-01-13 00:00,10.1,2017-03-20 00:00,9.8,2017-01-16 00:00,9.5,2017-03-23 00:00,,,,,10.6,10.6,10.1,9.8,7.9,6.3,4.4,ORANGE GROVE,"3401 W ORANGE GROVE RD, TUCSON",Arizona,Pima,Tucson,"Tucson, AZ",2017-05-16
4,19,1028,88101,1,32.29515,-110.9823,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,29,24,N,29,122,0,1,0.0,0.0,Certification not required,0,4.858621,1.547698,8.1,2017-01-13 00:00,7.7,2017-03-23 00:00,7.3,2017-03-11 00:00,6.8,2017-02-09 00:00,,,,,8.1,8.1,7.7,7.3,6.0,4.8,3.1,CHILDREN'S PARK NCore,400 W RIVER ROAD,Arizona,Pima,Tucson,"Tucson, AZ",2017-05-16
4,23,4,88101,1,31.337204,-110.936718,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,15,25,N,15,61,0,0,0.0,0.0,Certification not required,0,8.886667,4.192317,17.5,2017-01-07 00:00,15.7,2017-01-13 00:00,14.9,2017-01-31 00:00,10.6,2017-03-26 00:00,,,,,17.5,17.5,17.5,15.7,10.6,7.9,4.0,NOGALES POST OFFICE,300 N MORLEY AVE,Arizona,Santa Cruz,Nogales,"Nogales, AZ",2017-04-19
5,1,11,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,27,22,N,27,122,0,0,0.0,0.0,Certification not required,0,6.418519,2.849566,12.3,2017-03-20 00:00,11.9,2017-01-13 00:00,9.8,2017-03-17 00:00,9.4,2017-01-01 00:00,,,,,12.3,12.3,11.9,9.8,9.0,6.6,3.1,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,2017-04-26
5,3,5,88101,1,33.136862,-91.950377,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,29,24,N,29,122,0,0,0.0,0.0,Certification not required,0,6.92069,3.000997,11.7,2017-03-05 00:00,11.7,2017-03-20 00:00,11.3,2017-02-18 00:00,10.8,2017-03-26 00:00,,,,,11.7,11.7,11.7,11.3,9.5,6.8,2.5,CROSSETT,1015 UNITY ROAD,Arkansas,Ashley,Crossett,,2017-04-26
5,35,5,88101,1,35.197288,-90.193141,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,30,25,N,30,122,0,0,0.0,0.0,Certification not required,0,7.233333,2.995552,15.2,2017-01-07 00:00,12.6,2017-02-18 00:00,11.9,2017-03-23 00:00,10.6,2017-03-05 00:00,,,,,15.2,15.2,12.6,11.9,8.6,7.1,4.2,MARION,LH POLK AND COLONIAL DRIVE,Arkansas,Crittenden,Marion,"Memphis, TN-MS-AR",2017-04-26
5,51,3,88101,1,34.469441,-93.000178,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,30,25,N,30,122,0,0,0.0,0.0,Certification not required,0,7.576667,3.358847,16.6,2017-01-13 00:00,12.2,2017-03-17 00:00,12.1,2017-03-20 00:00,11.2,2017-02-24 00:00,,,,,16.6,16.6,12.2,12.1,10.0,8.2,3.3,HOT SPRINGS,300 WERNER ST.,Arkansas,Garland,Hot Springs (Hot Springs National Park),"Hot Springs, AR",2017-04-26
5,67,1,88101,1,35.63729199999999,-91.188914,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,30,25,N,30,122,0,0,0.0,0.0,Certification not required,0,7.216667,3.338292,15.2,2017-03-20 00:00,13.2,2017-01-13 00:00,11.7,2017-01-01 00:00,11.6,2017-02-12 00:00,,,,,15.2,15.2,13.2,11.7,9.4,7.0,3.0,NEWPORT,7648 VICTORY BLVD,Arkansas,Jackson,Newport,,2017-04-26
5,113,2,88101,1,34.583699,-94.226234,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,30,25,N,30,122,0,0,0.0,0.0,Certification not required,0,7.26,2.890126,15.3,2017-01-13 00:00,11.7,2017-02-24 00:00,11.0,2017-03-14 00:00,10.5,2017-03-20 00:00,,,,,15.3,15.3,11.7,11.0,9.0,7.2,3.6,MENA,HORNBECK ROAD - MENA,Arkansas,Polk,Mena,,2017-04-26
5,119,7,88101,1,34.756189,-92.281296,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,88,24,N,88,365,0,0,0.0,0.0,Certification not required,0,7.9329550000000015,3.015352,16.6,2017-01-08 00:00,15.2,2017-03-24 00:00,14.5,2017-03-20 00:00,14.3,2017-03-21 00:00,,,,,16.6,15.2,13.7,12.8,9.9,7.5,4.2,PARR,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,"Little Rock-North Little Rock-Conway, AR",2017-04-26
5,119,1008,88101,1,34.681343,-92.328697,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,30,25,N,30,122,0,0,0.0,0.0,Certification not required,0,8.5,3.456029,15.7,2017-01-13 00:00,15.2,2017-02-06 00:00,15.2,2017-03-20 00:00,13.2,2017-01-07 00:00,,,,,15.7,15.7,15.2,15.2,10.5,7.8,5.0,DOYLE SPRINGS ROAD,DOYLE SPRINGS ROAD,Arkansas,Pulaski,Little Rock,"Little Rock-North Little Rock-Conway, AR",2017-04-26
5,139,6,88101,1,33.220274,-92.669619,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,30,25,N,30,122,0,0,0.0,0.0,Certification not required,0,7.273333,2.97135,13.0,2017-01-13 00:00,12.6,2017-01-07 00:00,12.1,2017-03-20 00:00,11.6,2017-03-05 00:00,,,,,13.0,13.0,12.6,12.1,9.4,6.9,3.6,EL DORADO,"UNION MEMORIAL HOSPITAL, ELDORADO",Arkansas,Union,El Dorado,"El Dorado, AR",2017-04-26
5,143,5,88101,1,36.1797,-94.116827,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,29,24,N,29,122,0,0,0.0,0.0,Certification not required,0,7.117241,3.390224,14.8,2017-01-07 00:00,14.7,2017-01-13 00:00,13.6,2017-03-14 00:00,12.1,2017-03-17 00:00,,,,,14.8,14.8,14.7,13.6,9.3,6.1,3.6,SPRINGDALE,600 SOUTH OLD MISSOURI ROAD,Arkansas,Washington,Springdale,"Fayetteville-Springdale-Rogers, AR-MO",2017-04-26
6,7,8,88101,1,39.761538,-121.84162,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,27,7,N,27,365,0,4,0.0,0.0,Certification not required,0,8.748148,7.691172,30.9,2017-01-17 00:00,24.4,2017-01-16 00:00,22.6,2017-01-31 00:00,15.3,2017-01-15 00:00,,,,,30.9,30.9,24.4,22.6,12.1,6.3,2.2,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-05-03
6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,6,10,N,6,61,0,1,0.0,0.0,Certification not required,0,5.266667,3.978777,11.4,2017-01-31 00:00,7.4,2017-01-01 00:00,6.9,2017-01-25 00:00,2.8,2017-01-21 00:00,,,,,11.4,11.4,11.4,11.4,7.4,6.9,1.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-05-03
6,19,11,88101,1,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,23,6,N,23,365,0,8,1.0,1.0,Certification not required,0,10.191304,10.401875,40.0,2017-01-31 00:00,31.1,2017-01-17 00:00,25.9,2017-01-16 00:00,18.4,2017-01-18 00:00,,,,,40.0,40.0,31.1,25.9,16.1,6.1,2.0,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2017-05-03
6,19,5001,88101,1,36.819111,-119.717356,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,10,8,N,10,122,0,1,0.0,0.0,Certification not required,0,11.55,10.628186,34.1,2017-01-31 00:00,20.4,2017-01-16 00:00,18.5,2017-01-28 00:00,16.1,2017-01-25 00:00,,,,,34.1,34.1,34.1,34.1,18.5,8.4,1.0,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,"Fresno, CA",2017-05-03
6,19,5025,88101,1,36.72639,-119.733,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,10,8,N,10,122,0,1,0.0,0.0,Certification not required,0,11.55,11.018293,33.7,2017-01-28 00:00,25.9,2017-01-16 00:00,18.8,2017-01-25 00:00,10.1,2017-01-07 00:00,,,,,33.7,33.7,33.7,33.7,18.8,8.2,2.4,Fresno-Pacific,"1716 WINERY, FRESNO CA 93726",California,Fresno,Fresno,"Fresno, CA",2017-05-03
6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,27,23,N,14,61,0,3,0.0,0.0,Certification not required,0,7.066667,5.5358269999999985,21.2,2017-01-28 00:00,19.0,2017-01-31 00:00,18.3,2017-01-16 00:00,12.7,2017-01-13 00:00,,,,,21.2,21.2,21.2,19.0,12.7,9.8,5.7,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2017-05-16
6,25,5,88101,1,32.676186,-115.484144,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,28,8,N,28,365,0,3,0.0,0.0,Certification not required,0,8.428571,6.333851,30.7,2017-01-04 00:00,18.9,2017-01-18 00:00,15.4,2017-01-09 00:00,14.8,2017-01-07 00:00,,,,,30.7,30.7,18.9,15.4,11.8,7.3,2.2,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,"El Centro, CA",2017-05-03
6,25,7,88101,1,32.97833,-115.53917,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,30,25,N,30,122,0,0,0.0,0.0,Certification not required,0,6.846667,3.665753,20.3,2017-01-04 00:00,11.2,2017-01-22 00:00,10.6,2017-02-24 00:00,10.3,2017-03-05 00:00,,,,,20.3,20.3,11.2,10.6,8.5,7.1,2.9,Brawley-220 Main Street,"220 MAIN ST., STE 204, BRAWLEY",California,Imperial,Brawley,"El Centro, CA",2017-05-23
